userName,score,at,content
Pengguna Google,1,1/24/2022 12:31,"ganti app sebelah aja mending, FEE MUAHAL.BANGET"
Pengguna Google,1,1/24/2022 12:31,Fee mahal boss
Pengguna Google,1,1/24/2022 12:33,mengecewakan
Pengguna Google,1,1/24/2022 12:34,"Biaya transaksi mahal,fee penarikan mahal,transaksi sering lemot,,,no recomended"
Pengguna Google,1,1/24/2022 12:34,"stressss, dah tau lg mines masih ae di palak fee ga ngotak, SANGAT TIDAK DIREKOMENDASIKAN PAKE IDX!"
Pengguna Google,1,1/24/2022 12:35,Biaya fee mahal
Pengguna Google,1,1/24/2022 12:36,Biaya terlalu mahal untuk penarikan
Pengguna Google,1,1/24/2022 12:37,Makin lama makin mahal biaya feenya
Pengguna Google,4,1/24/2022 12:41,4 aja dulu
Pengguna Google,1,1/24/2022 12:42,Biaya transaksi mahal
Pengguna Google,1,1/24/2022 12:46,Udah ku kasih bintang. Tapi kenapa hilang. Dan harus ngilang
Pengguna Google,1,1/24/2022 12:48,Fee mahal
Pengguna Google,1,1/24/2022 12:49,Turunin fee wd
Pengguna Google,1,1/24/2022 12:51,Makin mahal bukannya perbaiki system
Pengguna Google,1,1/24/2022 12:53,Fee nya tidak bersahabat terlalu mahal
Pengguna Google,1,1/24/2022 12:54,Dr depo WD .. buy sell tf ke market lain biaya nya mahal indodax ini
Pengguna Google,1,1/24/2022 12:54,Fee trx terlalu mahal
Pengguna Google,1,1/24/2022 12:57,BIAYA FEE MAHAL
Pengguna Google,5,1/24/2022 12:58,berharap coin yg sy beli nilai nya di kemudian hari bisa bertambah. Sperti bitcoin jaman dahulu awal terbit. amin
Pengguna Google,1,1/24/2022 12:58,"Biaya wd rupiah mahal, apa"" mahal, transaksi tron aja mau di naikin. Bye"" dehh indodax"
Pengguna Google,1,1/24/2022 13:02,"SECARA KESELURUHAN SANGAT MENGECEWAKAN, EXCHANGE DENGAN BIAYA TERMAHAL, MENDING TKO ATAU BINANCE"
Pengguna Google,1,1/24/2022 13:03,"RAMPOK, FEE MAHAL"
Pengguna Google,1,1/24/2022 13:05,fee mahal. uninstall yok
Pengguna Google,1,1/24/2022 13:08,"Yang lain pada promo eh ini malah dinaikin fee nya,otw tak turunin bintangnya.."
Pengguna Google,1,1/24/2022 13:09,"uninstal... aplikasi gak ngotak, fee makan gede, klo ada koin yg bullish imdodax pura2 maintenen... aplagi fee trx juga gak ngotak, dri 5 menjadi 20.. bjingan"
Pengguna Google,1,1/24/2022 13:09,Fee di naikin mau ngerampok ini mah . Apk tidak ramah
Pengguna Google,1,1/24/2022 13:11,Satu aja cukup
Pengguna Google,1,1/24/2022 13:13,Fee tariknya mahaaaaal
Pengguna Google,1,1/24/2022 13:23,Apa2ain ini.WD rupiah mahal.skrng tranfer TRX jg mahal.lama2 ditinggalkan pengguna klo sprti itu.
Pengguna Google,1,1/24/2022 13:25,Bintang 1 adalah jawaban dari postingan @indodax di Twitter yg menjelaskan kenaikan biaya PENARIKAn trx
Pengguna Google,1,1/24/2022 13:28,"Fee semakin mahal.. Lagi susah cari profit, ditambah beban fee yg besar.."
Pengguna Google,1,1/24/2022 13:32,Fee semakin mahal
Pengguna Google,1,1/24/2022 13:33,Bukannya fee makin murah malah makin mahal.
Pengguna Google,1,1/24/2022 13:33,Biyaya yang sangat mahal
Pengguna Google,1,1/24/2022 13:35,Fee mahal
Pengguna Google,1,1/24/2022 13:35,WD fee terlalu besar server down pas rame
Pengguna Google,1,1/24/2022 13:38,"Kecewa, tambah mahal"
Pengguna Google,1,1/24/2022 13:38,Aplikasi sampah maintenance trusss
Pengguna Google,5,1/24/2022 13:40,Good
Pengguna Google,1,1/24/2022 13:41,Kontoll Pelayanan tidak memuaskan
Pengguna Google,1,1/24/2022 13:44,"Biaya tarik mahal, kirim usdt fee naik no recomend"
Pengguna Google,5,1/24/2022 13:47,"indodax emang paling top , tapi tolong fee nya kalo bisa di kurangi"
Pengguna Google,1,1/24/2022 13:49,Lah ngehapus review wkwk. Fee mu kek mau ngerampok orang.
Pengguna Google,1,1/24/2022 13:52,Ohh gitu cara mainnya Sangat tidak rama Bintang 1 ya ganteng Niat mau nyaingi elon musk ya? Gk mungkin deh owkwkwkwk
Pengguna Google,1,1/24/2022 14:02,"Karna kebijakan yang menaikan limit penarikan dan fee yang tinggi, saya memberikan 1 bintang , ini adalah bentuk protes saya kepada Indodax atas kebijakanya."
Pengguna Google,1,1/24/2022 14:03,Fee mahal
Pengguna Google,1,1/24/2022 14:03,Busuukkk... Nyesel pol
Pengguna Google,1,1/24/2022 14:04,Fee aja yg di urus
Pengguna Google,1,1/24/2022 14:05,Ni aplikasi ada anak koruptor rupannya
Pengguna Google,1,1/24/2022 14:07,Turunkan harga fee
Pengguna Google,1,1/24/2022 14:10,"fee mahal, gak kaya toko sebelah"
Pengguna Google,1,1/24/2022 14:14,"Payah, mending ke sebelah"
Pengguna Google,1,1/24/2022 14:14,Waduh kenapa untuk sistem transfet coin trx/tron malahan di naikin hingga 20trx sekali transfer ke excange lain atau wallet lain apa ga kebesaran biaya untuk feenya 😌😌 hadeh parah
Pengguna Google,1,1/24/2022 14:15,Rampok bener dah feenya
Pengguna Google,1,1/24/2022 14:16,Mari migrasi ke exchange lain. Bye Indodax. Fee lu lama lama ngentod
Pengguna Google,1,1/24/2022 14:16,"Wallet khusus elite makanya saya uninstall, biaya fee ga ngotak"
Pengguna Google,1,1/24/2022 14:16,"Fee terlalu mencekik, tidak friendly"
Pengguna Google,1,1/24/2022 14:16,Pindah exchange ke toko kripik ahh
Pengguna Google,1,1/24/2022 14:18,done
Pengguna Google,1,1/24/2022 14:18,Biaya pengiriman tronx dan ustd sudah sangat mahal Dulu biayanya 5 trx sekarang udah jadi 20 trx Dan biaya untuk ustd sekarang kena admin sebanyak 1 ustd Hapus aja ini aplikasi Biaya nya naek kurang naek
Pengguna Google,1,1/24/2022 14:19,"Excange sampah , Fee terlalu mahal,"
Pengguna Google,1,1/24/2022 14:20,Hadeh fee makin ngga ngotak ini😴😴
Pengguna Google,1,1/24/2022 14:20,Perampok Biaya Kriling hahaha Tutup Aja kalah saing Market lain banyak yg fee murah✅✅✅
Pengguna Google,1,1/24/2022 14:21,Fee mahal kaya kontol
Pengguna Google,1,1/24/2022 14:21,Horaaaaaaa umumm feeee nee...amsyiong..nyari cuan malan buantungg...
Pengguna Google,1,1/24/2022 14:21,Nyangkut dimana dep? Hahaa
Pengguna Google,1,1/24/2022 14:23,Lawak ya bang :v bukannya fee dikurangi malah ditambah. Depo idr juga kena fee. Wd ke bank mahal beda ama yg sebelah wkwkwk klo gini caramu banyak yg akan ninggalin kamu. Termasuk aku juga udah ninggalin kamu
Pengguna Google,1,1/24/2022 14:23,MAKIN KESINI FEE NYA KOK MAKIN GAK NGOTAK ANJNGGG
Pengguna Google,1,1/24/2022 14:23,Aplikasi sampah
Pengguna Google,5,1/24/2022 14:24,Mantap
Pengguna Google,1,1/24/2022 14:25,"Jelek fe mahal,auto uninstalll"
Pengguna Google,1,1/24/2022 14:30,Naikin trossss yah fee nya
Pengguna Google,1,1/24/2022 14:30,"Lawak sekali Antum Fee 20 TRX+ 2 USDT, Antum Exchanger apa Jasa Kargo Sapi Jawa-Bali?..sulit di mengerti semoga modol mu Warna Warni."
Pengguna Google,1,1/24/2022 14:31,Market gk bagus makin lama mskin bobrok.fee semakin lama semakim besar .saat nya pindah ke tempat lain yg lebih bagus lagi .
Pengguna Google,1,1/24/2022 14:32,turunin fee trx
Pengguna Google,1,1/24/2022 14:36,Pengen kaya sndiri ngentod ga tau dump asw
Pengguna Google,1,1/24/2022 14:39,fee besar 😑😑😑
Pengguna Google,1,1/24/2022 14:40,"Fee kemahalan, lagi anjlok gini lu berulah"
Pengguna Google,1,1/24/2022 14:41,Banyak potongannya
Pengguna Google,1,1/24/2022 14:43,Huuhhh fee nya mahal !
Pengguna Google,1,1/24/2022 14:44,Fee tf makin gak ngotak
Pengguna Google,1,1/24/2022 14:46,Makin lama makin ribet. Klo ada maslah khilangan 2fa ato nomor mesti buat surat prnyataan + materai. Gak guna lagi ID KTP + selfie realtime. Lama2 bakal sepi pasti.
Pengguna Google,1,1/24/2022 14:46,Tko dong lebih murah
Pengguna Google,1,1/24/2022 14:47,"Fee transfer terlalu mahal..20 trx untuk sekali transfer itu lumayan, wallet sebelah masih 1-5 trx fee nya.. sulit dah sulit"
Pengguna Google,1,1/24/2022 14:50,"Terlalu mahal, mending toko crypto"
Pengguna Google,1,1/24/2022 14:52,Belum apa2 da naik lagi penarikan di sini.makin ga jelas aj ni indodax.da byk coin yg pd ga masuk..
Pengguna Google,1,1/24/2022 14:52,Fee mahal bos
Pengguna Google,1,1/24/2022 14:59,Mantap fee wd mahal saya suka
Pengguna Google,1,1/24/2022 15:01,"Saya sangat kecewa dengan indodax kenapa biaya fee nya bertambah, Hidup saya udah terbebani dengan pajak jadi mohon untuk mempertimbangkan lagi, jika perlu jangan ada tambahan pajak !!"
